iter	Passed	Remaining
0	2	280
1	5	251
2	7	230
3	8	208
4	10	204
5	12	196
6	14	194
7	16	194
8	19	193
9	21	189
10	23	186
11	25	183
12	26	179
13	28	176
14	31	177
15	33	175
16	35	174
17	37	171
18	40	170
19	42	168
20	44	165
21	46	164
22	48	161
23	50	158
24	52	156
25	54	154
26	56	152
27	58	149
28	59	146
29	61	144
30	63	141
31	65	139
32	67	137
33	69	135
34	71	133
35	72	129
36	73	125
37	76	124
38	77	121
39	78	117
40	79	114
41	80	111
42	81	108
43	83	106
44	84	103
45	86	101
46	87	98
47	88	96
48	91	94
49	92	92
50	94	90
51	96	89
52	98	87
53	100	85
54	101	82
55	101	80
56	103	78
57	104	75
58	107	74
59	109	72
60	111	71
61	113	69
62	115	67
63	116	65
64	118	63
65	121	62
66	123	60
67	125	59
68	127	57
69	129	55
70	131	53
71	133	51
72	135	50
73	137	48
74	139	46
75	141	44
76	143	42
77	145	41
78	146	38
79	147	36
80	148	34
81	149	32
82	151	31
83	153	29
84	155	27
85	157	25
86	159	23
87	161	21
88	162	20
89	164	18
90	166	16
91	168	14
92	169	12
93	171	10
94	173	9
95	175	7
96	175	5
97	177	3
98	179	1
99	181	0
