iter	Passed	Remaining
0	1	1011
1	2	1019
2	2	955
3	3	988
4	5	1025
5	5	969
6	6	924
7	7	899
8	7	873
9	8	856
10	9	848
11	10	830
12	10	819
13	11	808
14	12	800
15	12	791
16	13	780
17	14	772
18	14	765
19	15	758
20	16	754
21	16	750
22	17	756
23	18	769
24	20	788
25	20	783
26	21	775
27	22	769
28	22	766
29	23	763
30	24	758
31	24	753
32	25	750
33	26	746
34	26	742
35	27	738
36	28	734
37	28	730
38	29	727
39	30	724
40	30	722
41	31	719
42	32	717
43	33	717
44	33	720
45	35	730
46	36	733
47	36	731
48	37	729
49	38	727
50	38	725
51	39	724
52	40	721
53	41	719
54	41	717
55	42	714
56	43	712
57	43	709
58	44	706
59	44	704
60	45	701
61	46	699
62	46	697
63	47	696
64	48	695
65	49	694
66	49	695
67	50	692
68	51	688
69	51	685
70	52	682
71	52	679
72	53	676
73	53	673
74	54	671
75	54	668
76	55	665
77	56	663
78	56	660
79	57	658
80	57	655
81	58	653
82	58	647
83	59	645
84	59	643
85	60	646
86	61	645
87	62	644
88	62	644
89	63	645
90	64	648
91	65	647
92	66	645
93	66	644
94	67	644
95	68	644
96	69	642
97	69	640
98	70	638
99	70	636
100	71	635
101	72	635
102	72	633
103	73	632
104	73	630
105	74	628
106	75	626
107	75	624
108	76	622
109	76	620
110	78	627
111	79	634
112	80	633
113	81	631
114	81	630
115	82	628
116	83	626
117	83	627
118	84	626
119	85	624
120	85	622
121	86	620
122	86	618
123	87	617
124	87	615
125	88	613
126	88	611
127	89	609
128	90	608
129	90	606
130	91	605
131	92	605
132	95	620
133	95	619
134	96	617
135	97	616
136	97	615
137	98	613
138	98	611
139	99	609
140	99	608
141	100	605
142	100	604
143	101	603
144	102	601
145	102	600
146	103	598
147	103	597
148	104	595
149	104	593
150	105	592
151	106	591
152	106	590
153	107	589
154	108	589
155	109	591
156	110	591
157	110	590
158	111	589
159	111	587
160	112	585
161	112	583
162	113	582
163	113	580
164	114	579
165	115	578
166	115	576
167	116	575
168	116	574
169	117	573
170	118	572
171	118	571
172	119	569
173	119	568
174	120	567
175	120	566
176	121	565
177	122	564
178	122	564
179	123	563
180	124	564
181	125	563
182	125	562
183	126	561
184	127	559
185	127	558
186	128	556
187	128	555
188	129	554
189	129	553
